fold,split,window_id,sample_id,label,label_index,group_id,group_index,cv_index,audio_path,start_sec,duration_sec,sample_rate,year,bandleader,pianist
3,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00000,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,0.000000,20.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
3,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00001,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,10.000000,20.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
3,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00002,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,20.000000,20.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
3,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00003,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,30.000000,20.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
3,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00004,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,40.000000,20.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
3,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00005,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,50.000000,20.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
3,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00006,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,60.000000,20.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
3,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00007,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,70.000000,20.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
3,train,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00000,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,0.000000,20.000000,24000,1983,Cedar Walton,Cedar Walton
3,train,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00001,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,10.000000,20.000000,24000,1983,Cedar Walton,Cedar Walton
3,train,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00002,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,20.000000,20.000000,24000,1983,Cedar Walton,Cedar Walton
3,train,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00003,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,30.000000,20.000000,24000,1983,Cedar Walton,Cedar Walton
3,train,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00004,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,40.000000,20.000000,24000,1983,Cedar Walton,Cedar Walton
3,train,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00005,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,50.000000,20.000000,24000,1983,Cedar Walton,Cedar Walton
