fold,split,sample_id,label,label_index,group_id,group_index,cv_index,fname_placeholder,track,year,bandleader,pianist,jtd_300
4,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,1992,Ahmad Jamal,Ahmad Jamal,true
4,train,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,1983,Cedar Walton,Cedar Walton,false
4,train,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,1989,Keith Jarrett,Keith Jarrett,true
4,train,bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb,All the Things You Are,0,Paul Bley / Paul Bley,2,2,bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb,All the Things You Are,1985,Paul Bley,Paul Bley,false
4,train,evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125,Autumn Leaves,1,Bill Evans / Bill Evans,1,1,evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125,Autumn Leaves,1980,Bill Evans,Bill Evans,false
4,train,coreac-autumnleaves-patituccijweckld-1989-9f758273,Autumn Leaves,1,Chick Corea / Chick Corea,2,2,coreac-autumnleaves-patituccijweckld-1989-9f758273,Autumn Leaves,1989,Chick Corea,Chick Corea,false
4,train,hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d,Autumn Leaves,1,John Hicks / John Hicks,6,6,hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d,Autumn Leaves,1990,John Hicks,John Hicks,true
4,train,jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa,Autumn Leaves,1,Keith Jarrett / Keith Jarrett,3,3,jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa,Autumn Leaves,1998,Keith Jarrett,Keith Jarrett,false
4,train,drewk-autumnleaves-rstednqueena-1988-23c5fddd,Autumn Leaves,1,Kenny Drew / Kenny Drew,7,7,drewk-autumnleaves-rstednqueena-1988-23c5fddd,Autumn Leaves,1988,Kenny Drew,Kenny Drew,false
4,train,petersono-autumnleaves-brownrthigpene-1965-204c37f6,Autumn Leaves,1,Oscar Peterson / Oscar Peterson,0,0,petersono-autumnleaves-brownrthigpene-1965-204c37f6,Autumn Leaves,1965,Oscar Peterson,Oscar Peterson,false
