fold,split,sample_id,label,label_index,group_id,group_index,cv_index,fname_placeholder,track,year,bandleader,pianist,jtd_300
0,train,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,1992,Ahmad Jamal,Ahmad Jamal,true
0,train,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,1989,Keith Jarrett,Keith Jarrett,true
0,train,bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb,All the Things You Are,0,Paul Bley / Paul Bley,2,2,bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb,All the Things You Are,1985,Paul Bley,Paul Bley,false
0,train,evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125,Autumn Leaves,1,Bill Evans / Bill Evans,1,1,evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125,Autumn Leaves,1980,Bill Evans,Bill Evans,false
0,train,coreac-autumnleaves-patituccijweckld-1989-9f758273,Autumn Leaves,1,Chick Corea / Chick Corea,2,2,coreac-autumnleaves-patituccijweckld-1989-9f758273,Autumn Leaves,1989,Chick Corea,Chick Corea,false
0,train,hawesh-autumnleaves-woodejclarkek-1958-ef338e87,Autumn Leaves,1,Hampton Hawes / Hampton Hawes,4,4,hawesh-autumnleaves-woodejclarkek-1958-ef338e87,Autumn Leaves,1958,Hampton Hawes,Hampton Hawes,false
0,train,hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d,Autumn Leaves,1,John Hicks / John Hicks,6,6,hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d,Autumn Leaves,1990,John Hicks,John Hicks,true
0,train,jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa,Autumn Leaves,1,Keith Jarrett / Keith Jarrett,3,3,jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa,Autumn Leaves,1998,Keith Jarrett,Keith Jarrett,false
0,train,drewk-autumnleaves-rstednqueena-1988-23c5fddd,Autumn Leaves,1,Kenny Drew / Kenny Drew,7,7,drewk-autumnleaves-rstednqueena-1988-23c5fddd,Autumn Leaves,1988,Kenny Drew,Kenny Drew,false
0,train,kellyw-autumnleaves-mcclurercobbj-1966-6319a440,Autumn Leaves,1,Wynton Kelly / Wynton Kelly,5,5,kellyw-autumnleaves-mcclurercobbj-1966-6319a440,Autumn Leaves,1966,Wynton Kelly,Wynton Kelly,false
